song,artist
Butterfly Effect,Travis Scott
Rich Flex,Drake
Chicago Freestyle,Drake
Flashing Lights,Kanye West
Headlines,Drake
Dark Thoughts,Lil Tecca
Circo Loco,Drake
Trouble,J. Cole
Churchill Downs,Jack Harlow
Beat It,Michael Jackson
Gimme! Gimme! Gimme!,ABBA
Billie Jean,Michael Jackson
Jimmy Cooks,Drake
Dead Man Walking,Brent Faiyaz
Trap Queen,Fetty Wap
